Value,Week,Condition,run
56.09,1,Ctrl,run2
48.13,2,Ctrl,run2
51.73,3,Ctrl,run2
49.77,4,Ctrl,run2
65.75,5,Ctrl,run2
67.81,6,Ctrl,run2
53.17,7,Ctrl,run2
53.68,8,Ctrl,run2
65.54,9,Ctrl,run2
60.54,10,Ctrl,run2
81.48,1,TAM,run2
78.44,2,TAM,run2
73.25,3,TAM,run2
68.12,4,TAM,run2
74.77,5,TAM,run2
68.82,6,TAM,run2
69.52,7,TAM,run2
60,8,TAM,run2
58.71,9,TAM,run2
53.17,10,TAM,run2
72.07759061,1,TAM,run3
72.78084014,2,TAM,run3
67.29746318,3,TAM,run3
62.44927687,4,TAM,run3
59.57191438,5,TAM,run3
60.36591058,6,TAM,run3
59.18793283,7,TAM,run3
59.04292752,8,TAM,run3
59.21091664,9,TAM,run3
57.00571895,10,TAM,run3
63.77940956,1,Ctrl,run3
55.16238974,2,Ctrl,run3
56.65318875,3,Ctrl,run3
50.94833224,4,Ctrl,run3
57.76363636,5,Ctrl,run3
55.10204082,6,Ctrl,run3
58.2176407,7,Ctrl,run3
54.86489162,8,Ctrl,run3
58.8579795,9,Ctrl,run3
50.93155325,10,Ctrl,run3
75.57,1,TAM,run1
75.26,2,TAM,run1
80.47,3,TAM,run1
63.69,4,TAM,run1
56.41,5,TAM,run1
58.93,6,TAM,run1
57.77,1,Ctrl,run1
56.55,2,Ctrl,run1
53.87,3,Ctrl,run1
51.1,4,Ctrl,run1
58.14,5,Ctrl,run1
55.42,6,Ctrl,run1
