Value,Week,Condition,run
30.7,1,Ctrl,run2
38.95,2,Ctrl,run2
34.58,3,Ctrl,run2
36.19,4,Ctrl,run2
23.77,5,Ctrl,run2
28.12,6,Ctrl,run2
32.66,7,Ctrl,run2
25.11,8,Ctrl,run2
30.69,9,Ctrl,run2
29.38,10,Ctrl,run2
10.23,1,TAM,run2
9.91,2,TAM,run2
12.67,3,TAM,run2
15.4,4,TAM,run2
19.46,5,TAM,run2
20.07,6,TAM,run2
27.13,7,TAM,run2
32.53,8,TAM,run2
29.67,9,TAM,run2
31.32,10,TAM,run2
16.51,1,TAM,run3
15.43,2,TAM,run3
19.1,3,TAM,run3
21.46,4,TAM,run3
21.34,5,TAM,run3
23.83,6,TAM,run3
20.82,7,TAM,run3
22.77,8,TAM,run3
21.53,9,TAM,run3
24.7,10,TAM,run3
32.62,1,Ctrl,run3
27.6,2,Ctrl,run3
26.09,3,Ctrl,run3
29.6,4,Ctrl,run3
30.5,5,Ctrl,run3
27.32,6,Ctrl,run3
30.74,7,Ctrl,run3
30.59,8,Ctrl,run3
26.73,9,Ctrl,run3
33.77,10,Ctrl,run3
16.43,1,TAM,run1
17.05,2,TAM,run1
24.53,3,TAM,run1
25.01,4,TAM,run1
31.8,5,TAM,run1
35.41,6,TAM,run1
30.88,1,Ctrl,run1
33.13,2,Ctrl,run1
35.01,3,Ctrl,run1
35.47,4,Ctrl,run1
21.35,5,Ctrl,run1
25.32,6,Ctrl,run1
