Value,Week,Condition,run
3,0,Ctrl,run2
2.46875,1,Ctrl,run2
3.19375,2,Ctrl,run2
3.11875,3,Ctrl,run2
3.4,4,Ctrl,run2
3.19,5,Ctrl,run2
3.04,6,Ctrl,run2
3.325,7,Ctrl,run2
2.85,8,Ctrl,run2
3.0375,9,Ctrl,run2
3.45,10,Ctrl,run2
3,0,TAM,run2
1.83125,1,TAM,run2
1.35,2,TAM,run2
1.015625,3,TAM,run2
1.002083333,4,TAM,run2
1.1265625,5,TAM,run2
1.128125,6,TAM,run2
1.384375,7,TAM,run2
1.8625,8,TAM,run2
1.51875,9,TAM,run2
2.34,10,TAM,run2
3.3,0,TAM,run1
2.66875,1,TAM,run1
1.65,2,TAM,run1
1.05625,3,TAM,run1
0.995,4,TAM,run1
1.00625,5,TAM,run1
0.8,6,TAM,run1
2.075,7,TAM,run1
1.725,8,TAM,run1
2.025,9,TAM,run1
2.3,10,TAM,run1
3.3,0,Ctrl,run1
3.575,1,Ctrl,run1
4.1,2,Ctrl,run1
3.725,3,Ctrl,run1
3.291666667,4,Ctrl,run1
3.008333333,5,Ctrl,run1
2.833333333,6,Ctrl,run1
3.6,7,Ctrl,run1
3.725,8,Ctrl,run1
3.775,9,Ctrl,run1
4.15,10,Ctrl,run1
3.5,0,TAM,run3
2.358333333,1,TAM,run4
1.666666667,2,TAM,run4
0.8875,3,TAM,run4
1.1125,4,TAM,run4
0.991666667,5,TAM,run4
1.7625,6,TAM,run4
2.05,7,TAM,run4
1.9,8,TAM,run4
3.5,0,Ctrl,run4
4.277777778,1,Ctrl,run4
3.183333333,2,Ctrl,run4
3.058333333,3,Ctrl,run4
3.375,4,Ctrl,run4
2.4,5,Ctrl,run4
3.7125,6,Ctrl,run4
3.5,7,Ctrl,run4
3.6125,8,Ctrl,run4
1.6875,9,TAM,run3
2.2875,10,TAM,run3
3.075,9,Ctrl,run3
3.3375,10,Ctrl,run3
