Cell Cycle	1.8272543620555726e-87	ANAPC7,ATRIP,AURKA,AURKB,BARD1,BIRC5,BLM,BORA,BRCA1,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CCND1,CCNE1,CDC20,CDC25A,CDC25B,CDC25C,CDC45,CDC6,CDC7,CDCA5,CDCA8,CDK1,CDK2,CDT1,CENPA,CENPE,CENPF,CENPI,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPS,CENPU,CENPW,CENPX,CEP152,CEP41,CEP43,CEP78,CHEK1,CHEK2,CHTF18,CKS1B,CLSPN,DBF4,DMC1,DNA2,DSCC1,DSN1,DYNLL1,E2F1,E2F2,E2F6,ERCC6L,ESCO2,ESPL1,EXO1,FBXO5,FEN1,FOXM1,GINS1,GINS2,GINS3,GINS4,GMNN,H2AC20,H2AX,H2AZ1,HAUS2,HAUS5,HAUS8,HJURP,HSP90AB1,INCENP,KIF18A,KIF20A,KIF23,KIF2C,KMT5A,KNL1,KNTC1,LIG1,LIN52,LMNB1,MAD2L1,MAPRE1,MASTL,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MIS18A,MND1,MYBL2,MZT1,MZT2A,NCAPD2,NCAPD3,NCAPG,NCAPG2,NCAPH,NCAPH2,NEK2,NUDC,NUF2,NUP107,NUP155,NUP188,NUP205,NUP35,NUP37,OIP5,ORC1,ORC6,PCNA,PIF1,PKMYT1,PLK1,PLK4,POLA1,POLD1,POLE,POLE2,POLR2G,POLR2L,PPP2R1B,PRIM1,PRIM2,PSMA3,PSMB2,PSMB5,PSMB6,PSMC3,PSMC3IP,PSMC6,PSMD1,PSMD11,PSMD14,PSMD8,PTTG1,RAD1,RAD51,RAD51C,RAN,RANGAP1,RBL1,RFC2,RFC3,RFC4,RFC5,RHNO1,RMI2,RPA2,RPA3,RRM2,RUVBL2,SFN,SGO1,SGO2,SHQ1,SKP2,SMC1A,SMC2,SPDL1,TK1,TOP2A,TOPBP1,TPX2,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,TUBG1,TUBGCP3,TYMS,UBE2C,VRK1,WRAP53,ZWILCH,ZWINT	R-HSA-1640170
Cell Cycle, Mitotic	1.7301992171373737e-74	ANAPC7,AURKA,AURKB,BIRC5,BORA,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CCND1,CCNE1,CDC20,CDC25A,CDC25B,CDC25C,CDC45,CDC6,CDC7,CDCA5,CDCA8,CDK1,CDK2,CDT1,CENPA,CENPE,CENPF,CENPI,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPS,CENPU,CEP152,CEP41,CEP43,CEP78,CKS1B,DBF4,DNA2,DSN1,DYNLL1,E2F1,E2F2,E2F6,ERCC6L,ESCO2,ESPL1,FBXO5,FEN1,FOXM1,GINS1,GINS2,GINS3,GINS4,GMNN,H2AC20,H2AX,H2AZ1,HAUS2,HAUS5,HAUS8,HSP90AB1,INCENP,KIF18A,KIF20A,KIF23,KIF2C,KMT5A,KNL1,KNTC1,LIG1,LIN52,LMNB1,MAD2L1,MAPRE1,MASTL,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MYBL2,MZT1,MZT2A,NCAPD2,NCAPD3,NCAPG,NCAPG2,NCAPH,NCAPH2,NEK2,NUDC,NUF2,NUP107,NUP155,NUP188,NUP205,NUP35,NUP37,ORC1,ORC6,PCNA,PKMYT1,PLK1,PLK4,POLA1,POLD1,POLE,POLE2,PPP2R1B,PRIM1,PRIM2,PSMA3,PSMB2,PSMB5,PSMB6,PSMC3,PSMC6,PSMD1,PSMD11,PSMD14,PSMD8,PTTG1,RAN,RANGAP1,RBL1,RFC2,RFC3,RFC4,RFC5,RPA2,RPA3,RRM2,SGO1,SGO2,SKP2,SMC1A,SMC2,SPDL1,TK1,TOP2A,TPX2,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,TUBG1,TUBGCP3,TYMS,UBE2C,VRK1,ZWILCH,ZWINT	R-HSA-69278
Cell Cycle Checkpoints	1.749874449298689e-47	ANAPC7,ATRIP,AURKB,BARD1,BIRC5,BLM,BRCA1,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CCNE1,CDC20,CDC25A,CDC25C,CDC45,CDC6,CDC7,CDCA8,CDK1,CDK2,CENPA,CENPE,CENPF,CENPI,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPS,CENPU,CHEK1,CHEK2,CLSPN,DBF4,DNA2,DSN1,DYNLL1,ERCC6L,EXO1,H2AX,INCENP,KIF18A,KIF2C,KNL1,KNTC1,MAD2L1,MAPRE1,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,NUDC,NUF2,NUP107,NUP37,ORC1,ORC6,PKMYT1,PLK1,PPP2R1B,PSMA3,PSMB2,PSMB5,PSMB6,PSMC3,PSMC6,PSMD1,PSMD11,PSMD14,PSMD8,RAD1,RANGAP1,RFC2,RFC3,RFC4,RFC5,RHNO1,RMI2,RPA2,RPA3,SFN,SGO1,SGO2,SPDL1,TOPBP1,UBE2C,ZWILCH,ZWINT	R-HSA-69620
M Phase	6.226836640014432e-36	ANAPC7,AURKB,BIRC5,BUB1,BUB1B,CCNB1,CCNB2,CDC20,CDCA5,CDCA8,CDK1,CENPA,CENPE,CENPF,CENPI,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPS,CENPU,CEP152,CEP41,CEP43,CEP78,DSN1,DYNLL1,ERCC6L,ESPL1,FBXO5,H2AC20,H2AX,H2AZ1,HAUS2,HAUS5,HAUS8,INCENP,KIF18A,KIF20A,KIF23,KIF2C,KMT5A,KNL1,KNTC1,LMNB1,MAD2L1,MAPRE1,MASTL,MZT1,MZT2A,NCAPD2,NCAPD3,NCAPG,NCAPG2,NCAPH,NCAPH2,NEK2,NUDC,NUF2,NUP107,NUP155,NUP188,NUP205,NUP35,NUP37,PLK1,PLK4,PPP2R1B,PSMA3,PSMB2,PSMB5,PSMB6,PSMC3,PSMC6,PSMD1,PSMD11,PSMD14,PSMD8,PTTG1,RAN,RANGAP1,SGO1,SGO2,SMC1A,SMC2,SPDL1,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,TUBG1,TUBGCP3,UBE2C,VRK1,ZWILCH,ZWINT	R-HSA-68886
Mitotic Metaphase and Anaphase	1.292431632459238e-33	ANAPC7,AURKB,BIRC5,BUB1,BUB1B,CCNB1,CCNB2,CDC20,CDCA5,CDCA8,CDK1,CENPA,CENPE,CENPF,CENPI,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPS,CENPU,DSN1,DYNLL1,ERCC6L,ESPL1,FBXO5,INCENP,KIF18A,KIF2C,KNL1,KNTC1,LMNB1,MAD2L1,MAPRE1,NUDC,NUF2,NUP107,NUP155,NUP188,NUP205,NUP35,NUP37,PLK1,PPP2R1B,PSMA3,PSMB2,PSMB5,PSMB6,PSMC3,PSMC6,PSMD1,PSMD11,PSMD14,PSMD8,PTTG1,RAN,RANGAP1,SGO1,SGO2,SMC1A,SPDL1,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,UBE2C,VRK1,ZWILCH,ZWINT	R-HSA-2555396
Mitotic Anaphase	6.816668280004638e-33	ANAPC7,AURKB,BIRC5,BUB1,BUB1B,CCNB1,CCNB2,CDC20,CDCA5,CDCA8,CDK1,CENPA,CENPE,CENPF,CENPI,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPS,CENPU,DSN1,DYNLL1,ERCC6L,ESPL1,INCENP,KIF18A,KIF2C,KNL1,KNTC1,LMNB1,MAD2L1,MAPRE1,NUDC,NUF2,NUP107,NUP155,NUP188,NUP205,NUP35,NUP37,PLK1,PPP2R1B,PSMA3,PSMB2,PSMB5,PSMB6,PSMC3,PSMC6,PSMD1,PSMD11,PSMD14,PSMD8,PTTG1,RAN,RANGAP1,SGO1,SGO2,SMC1A,SPDL1,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,UBE2C,VRK1,ZWILCH,ZWINT	R-HSA-68882
Mitotic Prometaphase	1.5700564519032952e-32	AURKB,BIRC5,BUB1,BUB1B,CCNB1,CCNB2,CDC20,CDCA5,CDCA8,CDK1,CENPA,CENPE,CENPF,CENPI,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPS,CENPU,CEP152,CEP41,CEP43,CEP78,DSN1,DYNLL1,ERCC6L,HAUS2,HAUS5,HAUS8,INCENP,KIF18A,KIF2C,KNL1,KNTC1,MAD2L1,MAPRE1,MZT1,MZT2A,NCAPD2,NCAPG,NCAPH,NEK2,NUDC,NUF2,NUP107,NUP37,PLK1,PLK4,PPP2R1B,RANGAP1,SGO1,SGO2,SMC1A,SMC2,SPDL1,TUBA4A,TUBB4B,TUBG1,TUBGCP3,ZWILCH,ZWINT	R-HSA-68877
DNA Replication	7.585910999921232e-32	ANAPC7,CCNA2,CCNE1,CDC45,CDC6,CDC7,CDK2,CDT1,DBF4,DNA2,E2F1,E2F2,FEN1,GINS1,GINS2,GINS3,GINS4,GMNN,LIG1,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,ORC1,ORC6,PCNA,POLA1,POLD1,POLE,POLE2,PRIM1,PRIM2,PSMA3,PSMB2,PSMB5,PSMB6,PSMC3,PSMC6,PSMD1,PSMD11,PSMD14,PSMD8,RFC2,RFC3,RFC4,RFC5,RPA2,RPA3,SKP2,UBE2C	R-HSA-69306
G1/S Transition	4.0977893090232977e-29	CCNA2,CCNB1,CCND1,CCNE1,CDC25A,CDC45,CDC6,CDC7,CDK1,CDK2,CDT1,CKS1B,DBF4,E2F1,E2F6,FBXO5,GMNN,LIN52,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,ORC1,ORC6,PCNA,POLA1,POLE,POLE2,PPP2R1B,PRIM1,PRIM2,PSMA3,PSMB2,PSMB5,PSMB6,PSMC3,PSMC6,PSMD1,PSMD11,PSMD14,PSMD8,RBL1,RPA2,RPA3,RRM2,SKP2,TK1,TYMS	R-HSA-69206
Mitotic G1 phase and G1/S transition	4.4692077147153e-29	CCNA2,CCNB1,CCND1,CCNE1,CDC25A,CDC45,CDC6,CDC7,CDK1,CDK2,CDT1,CKS1B,DBF4,E2F1,E2F2,E2F6,FBXO5,GMNN,LIN52,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MYBL2,ORC1,ORC6,PCNA,POLA1,POLE,POLE2,PPP2R1B,PRIM1,PRIM2,PSMA3,PSMB2,PSMB5,PSMB6,PSMC3,PSMC6,PSMD1,PSMD11,PSMD14,PSMD8,RBL1,RPA2,RPA3,RRM2,SKP2,TK1,TOP2A,TYMS	R-HSA-453279
S Phase	8.359388070551476e-29	ANAPC7,CCNA2,CCND1,CCNE1,CDC25A,CDC25B,CDC45,CDC6,CDCA5,CDK2,CDT1,CKS1B,DNA2,E2F1,ESCO2,FEN1,GINS1,GINS2,GINS3,GINS4,LIG1,LIN52,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,ORC1,ORC6,PCNA,POLA1,POLD1,POLE,POLE2,PRIM1,PRIM2,PSMA3,PSMB2,PSMB5,PSMB6,PSMC3,PSMC6,PSMD1,PSMD11,PSMD14,PSMD8,RFC2,RFC3,RFC4,RFC5,RPA2,RPA3,SKP2,SMC1A,UBE2C	R-HSA-69242
Resolution of Sister Chromatid Cohesion	1.0071810014168314e-27	AURKB,BIRC5,BUB1,BUB1B,CCNB1,CCNB2,CDC20,CDCA5,CDCA8,CDK1,CENPA,CENPE,CENPF,CENPI,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPS,CENPU,DSN1,DYNLL1,ERCC6L,INCENP,KIF18A,KIF2C,KNL1,KNTC1,MAD2L1,MAPRE1,NUDC,NUF2,NUP107,NUP37,PLK1,PPP2R1B,RANGAP1,SGO1,SGO2,SMC1A,SPDL1,ZWILCH,ZWINT	R-HSA-2500257
Separation of Sister Chromatids	1.9057373105805152e-27	ANAPC7,AURKB,BIRC5,BUB1,BUB1B,CDC20,CDCA5,CDCA8,CENPA,CENPE,CENPF,CENPI,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPS,CENPU,DSN1,DYNLL1,ERCC6L,ESPL1,INCENP,KIF18A,KIF2C,KNL1,KNTC1,MAD2L1,MAPRE1,NUDC,NUF2,NUP107,NUP37,PLK1,PPP2R1B,PSMA3,PSMB2,PSMB5,PSMB6,PSMC3,PSMC6,PSMD1,PSMD11,PSMD14,PSMD8,PTTG1,RANGAP1,SGO1,SGO2,SMC1A,SPDL1,UBE2C,ZWILCH,ZWINT	R-HSA-2467813
Synthesis of DNA	4.38809309611592e-27	ANAPC7,CCNA2,CCNE1,CDC45,CDC6,CDK2,CDT1,DNA2,FEN1,GINS1,GINS2,GINS3,GINS4,LIG1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,ORC1,ORC6,PCNA,POLA1,POLD1,POLE,POLE2,PRIM1,PRIM2,PSMA3,PSMB2,PSMB5,PSMB6,PSMC3,PSMC6,PSMD1,PSMD11,PSMD14,PSMD8,RFC2,RFC3,RFC4,RFC5,RPA2,RPA3,SKP2,UBE2C	R-HSA-69239
DNA strand elongation	1.7263549981041296e-25	CDC45,DNA2,FEN1,GINS1,GINS2,GINS3,GINS4,LIG1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,PCNA,POLA1,POLD1,PRIM1,PRIM2,RFC2,RFC3,RFC4,RFC5,RPA2,RPA3	R-HSA-69190
Amplification of signal from the kinetochores	8.46828091697481e-25	AURKB,BIRC5,BUB1,BUB1B,CDC20,CDCA8,CENPA,CENPE,CENPF,CENPI,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPS,CENPU,DSN1,DYNLL1,ERCC6L,INCENP,KIF18A,KIF2C,KNL1,KNTC1,MAD2L1,MAPRE1,NUDC,NUF2,NUP107,NUP37,PLK1,PPP2R1B,RANGAP1,SGO1,SGO2,SPDL1,ZWILCH,ZWINT	R-HSA-141424
Amplification of signal from unattached kinetochores via a MAD2 inhibitory signal	8.46828091697481e-25	AURKB,BIRC5,BUB1,BUB1B,CDC20,CDCA8,CENPA,CENPE,CENPF,CENPI,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPS,CENPU,DSN1,DYNLL1,ERCC6L,INCENP,KIF18A,KIF2C,KNL1,KNTC1,MAD2L1,MAPRE1,NUDC,NUF2,NUP107,NUP37,PLK1,PPP2R1B,RANGAP1,SGO1,SGO2,SPDL1,ZWILCH,ZWINT	R-HSA-141444
Activation of ATR in response to replication stress	2.3992836081686523e-24	ATRIP,CDC25A,CDC25C,CDC45,CDC6,CDC7,CDK2,CHEK1,CLSPN,DBF4,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,ORC1,ORC6,RAD1,RFC2,RFC3,RFC4,RFC5,RPA2,RPA3	R-HSA-176187
EML4 and NUDC in mitotic spindle formation	5.2846625759988286e-24	AURKB,BIRC5,BUB1,BUB1B,CDC20,CDCA8,CENPA,CENPE,CENPF,CENPI,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPS,CENPU,DSN1,DYNLL1,ERCC6L,INCENP,KIF18A,KIF2C,KNL1,KNTC1,MAD2L1,MAPRE1,NUDC,NUF2,NUP107,NUP37,PLK1,PPP2R1B,RANGAP1,SGO1,SGO2,SPDL1,ZWILCH,ZWINT	R-HSA-9648025
