Peptide chain elongation	6.282939611359987e-8	EEF1A1,EEF2,RPL11,RPL12,RPL13,RPL15,RPL18A,RPL22L1,RPL27,RPL32,RPL34,RPL35A,RPL39,RPL4,RPL5,RPLP0,RPLP1,RPLP2,RPS13,RPS19,RPS21,RPS25,RPS27L,RPS3,RPS5,RPS8,RPSA,UBA52	R-HSA-156902
Eukaryotic Translation Elongation	7.251127322257677e-8	EEF1A1,EEF1B2,EEF2,RPL11,RPL12,RPL13,RPL15,RPL18A,RPL22L1,RPL27,RPL32,RPL34,RPL35A,RPL39,RPL4,RPL5,RPLP0,RPLP1,RPLP2,RPS13,RPS19,RPS21,RPS25,RPS27L,RPS3,RPS5,RPS8,RPSA,UBA52	R-HSA-156842
Axon guidance	2.830226210316012e-7	ABL2,ADAM10,AGRN,CACNA1I,CACNB1,COL4A3,COL4A4,COL4A5,COL6A6,DNM1,DNM2,DNM3,DSCAM,DSCAML1,EFNA5,EPHA10,EPHA4,EPHB2,ERBB2,FYN,ITGAV,ITGB1,L1CAM,LAMB1,LAMC1,LHX2,MAP2K2,MAPK12,MAPK13,MMP9,MYH14,NRP1,NRP2,NRTN,NTN4,PABPC1,PDLIM7,PIK3CA,PLXNA1,PLXNA2,PLXND1,PRKACB,RDX,RND1,ROBO1,RPL11,RPL12,RPL13,RPL15,RPL18A,RPL22L1,RPL27,RPL32,RPL34,RPL35A,RPL39,RPL4,RPL5,RPLP0,RPLP1,RPLP2,RPS13,RPS19,RPS21,RPS25,RPS27L,RPS3,RPS5,RPS6KA6,RPS8,RPSA,SCN1B,SCN5A,SEMA5A,SH3KBP1,SIAH1,SPTBN2,SRGAP1,TRIO,TRPC1,UBA52,UNC5C	R-HSA-422475
Nervous system development	3.958293112642008e-7	ABL2,ADAM10,AGRN,CACNA1I,CACNB1,COL4A3,COL4A4,COL4A5,COL6A6,DNM1,DNM2,DNM3,DSCAM,DSCAML1,EFNA5,EPHA10,EPHA4,EPHB2,ERBB2,FYN,ITGAV,ITGB1,L1CAM,LAMB1,LAMC1,LHX2,MAG,MAP2K2,MAPK12,MAPK13,MMP9,MYH14,NRP1,NRP2,NRTN,NTN4,PABPC1,PDLIM7,PIK3CA,PLXNA1,PLXNA2,PLXND1,PRKACB,RDX,RND1,ROBO1,RPL11,RPL12,RPL13,RPL15,RPL18A,RPL22L1,RPL27,RPL32,RPL34,RPL35A,RPL39,RPL4,RPL5,RPLP0,RPLP1,RPLP2,RPS13,RPS19,RPS21,RPS25,RPS27L,RPS3,RPS5,RPS6KA6,RPS8,RPSA,SCN1B,SCN5A,SEMA5A,SH3KBP1,SIAH1,SPTBN2,SRGAP1,TRIO,TRPC1,UBA52,UNC5C,WWTR1	R-HSA-9675108
Viral mRNA Translation	5.344277922253874e-7	RPL11,RPL12,RPL13,RPL15,RPL18A,RPL22L1,RPL27,RPL32,RPL34,RPL35A,RPL39,RPL4,RPL5,RPLP0,RPLP1,RPLP2,RPS13,RPS19,RPS21,RPS25,RPS27L,RPS3,RPS5,RPS8,RPSA,UBA52	R-HSA-192823
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	5.945917190099873e-7	PABPC1,RPL11,RPL12,RPL13,RPL15,RPL18A,RPL22L1,RPL27,RPL32,RPL34,RPL35A,RPL39,RPL4,RPL5,RPLP0,RPLP1,RPLP2,RPS13,RPS19,RPS21,RPS25,RPS27L,RPS3,RPS5,RPS8,RPSA,UBA52	R-HSA-975956
Formation of a pool of free 40S subunits	6.633410195260066e-7	EIF3G,EIF3L,RPL11,RPL12,RPL13,RPL15,RPL18A,RPL22L1,RPL27,RPL32,RPL34,RPL35A,RPL39,RPL4,RPL5,RPLP0,RPLP1,RPLP2,RPS13,RPS19,RPS21,RPS25,RPS27L,RPS3,RPS5,RPS8,RPSA,UBA52	R-HSA-72689
L13a-mediated translational silencing of Ceruloplasmin expression	9.572727481191764e-7	EIF3G,EIF3L,PABPC1,RPL11,RPL12,RPL13,RPL15,RPL18A,RPL22L1,RPL27,RPL32,RPL34,RPL35A,RPL39,RPL4,RPL5,RPLP0,RPLP1,RPLP2,RPS13,RPS19,RPS21,RPS25,RPS27L,RPS3,RPS5,RPS8,RPSA,UBA52	R-HSA-156827
Selenocysteine synthesis	0.0000011740327217927662	RPL11,RPL12,RPL13,RPL15,RPL18A,RPL22L1,RPL27,RPL32,RPL34,RPL35A,RPL39,RPL4,RPL5,RPLP0,RPLP1,RPLP2,RPS13,RPS19,RPS21,RPS25,RPS27L,RPS3,RPS5,RPS8,RPSA,UBA52	R-HSA-2408557
Eukaryotic Translation Termination	0.0000011740327217927662	RPL11,RPL12,RPL13,RPL15,RPL18A,RPL22L1,RPL27,RPL32,RPL34,RPL35A,RPL39,RPL4,RPL5,RPLP0,RPLP1,RPLP2,RPS13,RPS19,RPS21,RPS25,RPS27L,RPS3,RPS5,RPS8,RPSA,UBA52	R-HSA-72764
