Sample ID,Description,Type,week,treatment,replicate
131210_SangiA_l1_005,1W_C1,paired-end,1,C,1
131210_SangiA_l1_006,1W_C2,paired-end,1,C,2
131210_SangiA_l1_015,1W_C3,paired-end,1,C,3
131210_SangiA_l2_002,1W_C4,paired-end,1,C,4
131210_SangiA_l2_007,1W_C5,paired-end,1,C,5
131210_SangiA_l2_019,1W_H1,paired-end,1,H,1
131210_SangiA_l1_001,1W_H2,paired-end,1,H,2
131210_SangiA_l2_010,1W_H3,paired-end,1,H,3
131210_SangiA_l4_020,1W_H4,paired-end,1,H,4
131210_SangiA_l3_003,1W_H5,paired-end,1,H,5
131210_SangiA_l3_009,1W_T1,paired-end,1,T,1
131210_SangiA_l3_025,1W_T2,paired-end,1,T,2
131210_SangiA_l4_008,1W_T3,paired-end,1,T,3
131210_SangiA_l4_011,1W_T4,paired-end,1,T,4
131210_SangiA_l4_022,1W_T5,paired-end,1,T,5
140306_Hiseq3A_l7_005,10W_C1,single-read,10,C,1
140306_Hiseq3A_l7_006,10W_C2,single-read,10,C,2
140306_Hiseq3A_l7_015,10W_C3,single-read,10,C,3
140306_Hiseq3A_l7_002,10W_C4,single-read,10,C,4
140306_Hiseq3A_l7_007,10W_C5,single-read,10,C,5
140306_Hiseq3A_l7_019,10W_H1,single-read,10,H,1
140306_Hiseq3B_l5_001,10W_H2,single-read,10,H,2
140306_Hiseq3B_l5_010,10W_H3,single-read,10,H,3
140306_Hiseq3B_l5_020,10W_H4,single-read,10,H,4
140306_Hiseq3B_l5_003,10W_H5,single-read,10,H,5
140306_Hiseq3B_l5_009,10W_T1,single-read,10,T,1
140306_Hiseq3B_l5_025,10W_T2,single-read,10,T,2
140314_Hiseq3A_l6_008,10W_T3,single-read,10,T,3
140314_Hiseq3A_l6_011,10W_T4,single-read,10,T,4
140314_Hiseq3A_l6_022,10W_T5,single-read,10,T,5
140314_Hiseq3A_l6_005,11W_C1,single-read,11,C,1
140314_Hiseq3A_l6_006,11W_C2,single-read,11,C,2
140314_Hiseq3A_l6_015,11W_C3,single-read,11,C,3
140314_Hiseq3A_l7_002,11W_C4,single-read,11,C,4
140314_Hiseq3A_l7_007,11W_C5,single-read,11,C,5
140314_Hiseq3A_l7_019,11W_H1,single-read,11,H,1
140314_Hiseq3A_l7_001,11W_H2,single-read,11,H,2
140314_Hiseq3A_l7_010,11W_H3,single-read,11,H,3
140314_Hiseq3A_l7_020,11W_H4,single-read,11,H,4
140314_Hiseq3A_l8_003,11W_H5,single-read,11,H,5
140314_Hiseq3A_l8_009,11W_T1,single-read,11,T,1
140314_Hiseq3A_l8_025,11W_T2,single-read,11,T,2
140314_Hiseq3A_l8_008,11W_T3,single-read,11,T,3
140314_Hiseq3A_l8_011,11W_T4,single-read,11,T,4
140314_Hiseq3A_l8_022,11W_T5,single-read,11,T,5
140314_Hiseq3B_l3_005,12W_C1,single-read,12,C,1
140314_Hiseq3B_l3_006,12W_C2,single-read,12,C,2
140314_Hiseq3B_l3_015,12W_C3,single-read,12,C,3
140314_Hiseq3B_l3_002,12W_C4,single-read,12,C,4
140314_Hiseq3B_l3_007,12W_C5,single-read,12,C,5
140314_Hiseq3B_l3_019,12W_H1,single-read,12,H,1
140314_Hiseq3B_l4_001,12W_H2,single-read,12,H,2
140314_Hiseq3B_l4_010,12W_H3,single-read,12,H,3
140314_Hiseq3B_l4_020,12W_H4,single-read,12,H,4
140314_Hiseq3B_l4_003,12W_H5,single-read,12,H,5
140314_Hiseq3B_l4_009,12W_T1,single-read,12,T,1
140314_Hiseq3B_l4_025,12W_T2,single-read,12,T,2
140318_Hiseq3B_l4_008,12W_T3,single-read,12,T,3
140318_Hiseq3B_l4_011,12W_T4,single-read,12,T,4
140318_Hiseq3B_l4_022,12W_T5,single-read,12,T,5
131210_SangiA_l3_005,2W_C1,paired-end,2,C,1
131210_SangiA_l6_006,2W_C2,paired-end,2,C,2
131210_SangiB_l2_015,2W_C3,paired-end,2,C,3
131210_SangiA_l5_002,2W_C4,paired-end,2,C,4
131210_SangiA_l5_007,2W_C5,paired-end,2,C,5
131210_SangiA_l5_019,2W_H1,paired-end,2,H,1
131210_SangiA_l6_001,2W_H2,paired-end,2,H,2
131210_SangiA_l6_010,2W_H3,paired-end,2,H,3
131210_SangiA_l6_020,2W_H4,paired-end,2,H,4
131210_SangiA_l7_003,2W_H5,paired-end,2,H,5
131210_SangiA_l7_009,2W_T1,paired-end,2,T,1
131210_SangiA_l7_025,2W_T2,paired-end,2,T,2
131210_SangiA_l8_008,2W_T3,paired-end,2,T,3
131210_SangiA_l8_011,2W_T4,paired-end,2,T,4
131210_SangiA_l8_022,2W_T5,paired-end,2,T,5
131210_SangiB_l1_005,3W_C1,paired-end,3,C,1
131210_SangiB_l1_006,3W_C2,paired-end,3,C,2
131210_SangiB_l1_015,3W_C3,paired-end,3,C,3
131210_SangiB_l2_002,3W_C4,paired-end,3,C,4
131210_SangiB_l2_007,3W_C5,paired-end,3,C,5
131210_SangiB_l2_009,3W_H1,paired-end,3,H,1
140318_Hiseq3B_l4_019,3W_H1,single-read,3,H,1
131210_SangiA_l7_001,3W_H2,paired-end,3,H,2
131210_SangiA_l8_010,3W_H3,paired-end,3,H,3
131210_SangiA_l5_020,3W_H4,paired-end,3,H,4
131210_SangiB_l1_003,3W_H5,paired-end,3,H,5
140121_Hiseq3B_l3_009,3W_T1,single-read,3,T,1
140130_Hiseq3B_l2_025,3W_T2,single-read,3,T,2
140121_Hiseq3B_l2_008,3W_T3,single-read,3,T,3
140121_Hiseq3B_l2_011,3W_T4,single-read,3,T,4
140121_Hiseq3B_l2_022,3W_T5,single-read,3,T,5
140121_Hiseq3B_l3_005,4W_C1,single-read,4,C,1
140121_Hiseq3B_l3_006,4W_C2,single-read,4,C,2
140121_Hiseq3B_l3_015,4W_C3,single-read,4,C,3
140121_Hiseq3B_l4_002,4W_C4,single-read,4,C,4
140121_Hiseq3B_l4_007,4W_C5,single-read,4,C,5
140121_Hiseq3B_l4_019,4W_H1,single-read,4,H,1
140121_Hiseq3B_l5_001,4W_H2,single-read,4,H,2
140121_Hiseq3B_l5_010,4W_H3,single-read,4,H,3
140121_Hiseq3B_l5_020,4W_H4,single-read,4,H,4
140130_Hiseq3B_l1_003,4W_H5,single-read,4,H,5
140130_Hiseq3B_l1_009,4W_T1,single-read,4,T,1
140130_Hiseq3B_l1_025,4W_T2,single-read,4,T,2
140130_Hiseq3B_l2_008,4W_T3,single-read,4,T,3
140130_Hiseq3B_l2_011,4W_T4,single-read,4,T,4
140130_Hiseq3B_l2_022,4W_T5,single-read,4,T,5
140121_Hiseq3B_l2_005,5W_C1,single-read,5,C,1
140121_Hiseq3B_l4_006,5W_C2,single-read,5,C,2
140121_Hiseq3B_l5_015,5W_C3,single-read,5,C,3
140130_Hiseq3B_l1_002,5W_C4,single-read,5,C,4
140130_Hiseq3B_l3_007,5W_C5,single-read,5,C,5
140130_Hiseq3B_l4_019,5W_H1,single-read,5,H,1
140130_Hiseq3B_l3_001,5W_H2,single-read,5,H,2
140130_Hiseq3B_l3_010,5W_H3,single-read,5,H,3
140130_Hiseq3B_l3_020,5W_H4,single-read,5,H,4
140130_Hiseq3B_l4_003,5W_H5,single-read,5,H,5
140130_Hiseq3B_l4_009,5W_T1,single-read,5,T,1
140130_Hiseq3B_l4_025,5W_T2,single-read,5,T,2
140130_Hiseq3A_l1_008,5W_T3,single-read,5,T,3
140130_Hiseq3A_l1_011,5W_T4,single-read,5,T,4
140130_Hiseq3A_l1_022,5W_T5,single-read,5,T,5
140130_Hiseq3A_l2_005,6W_C1,single-read,6,C,1
140130_Hiseq3A_l2_006,6W_C2,single-read,6,C,2
140130_Hiseq3A_l2_015,6W_C3,single-read,6,C,3
140130_Hiseq3A_l3_002,6W_C4,single-read,6,C,4
140130_Hiseq3A_l3_007,6W_C5,single-read,6,C,5
140130_Hiseq3A_l3_019,6W_H1,single-read,6,H,1
140130_Hiseq3A_l1_001,6W_H2,single-read,6,H,2
140130_Hiseq3A_l2_010,6W_H3,single-read,6,H,3
