Human cytomegalovirus infection	0.0047574341064955845	AKT1,BCAR1,CALM1,CCND1,GNA12,GNAS,GNB1,MAP2K2,RAC1,RELA,RPS6KB1,TAPBP,TSC2	hsa05163
VEGF signaling pathway	0.01368655698104245	AKT1,HSPB1,MAP2K2,MAPKAPK3,PLCG1,RAC1	hsa04370
Thyroid hormone signaling pathway	0.015640843780267272	AKT1,ATP1B3,CCND1,MAP2K2,MED13L,NCOR1,PLCG1,TSC2	hsa04919
Neurotrophin signaling pathway	0.016742347968944287	AKT1,CALM1,IRS1,MAP2K2,PLCG1,RAC1,RELA,SORT1	hsa04722
Bacterial invasion of epithelial cells	0.016782384201593278	ACTR3,ARPC5L,BCAR1,CLTA,CTTN,RAC1	hsa05100
Shigellosis	0.01776789748419736	ACTR3,AKT1,ARPC5L,BCAR1,CAPNS1,CTTN,CYTH2,PFN1,PLCG1,RAC1,RELA,RPS6KB1	hsa05131
Endocrine resistance	0.017866505038938333	AKT1,CCND1,GNAS,IGF1R,MAP2K2,NCOR1,RPS6KB1	hsa01522
Choline metabolism in cancer	0.017866505038938333	AKT1,MAP2K2,PLCG1,RAC1,RPS6KB1,SLC44A1,TSC2	hsa05231
Rap1 signaling pathway	0.017874556450737784	AKT1,BCAR1,CALM1,EVL,GNAS,IGF1R,MAP2K2,PFN1,PLCG1,RAC1	hsa04015
Prostate cancer	0.01917894069910604	AKT1,AR,CCND1,IGF1R,MAP2K2,RELA,SPINT1	hsa05215
Hepatocellular carcinoma	0.019265893861033088	ACTL6A,AKT1,ARID2,BRD7,CCND1,IGF1R,MAP2K2,PLCG1,RPS6KB1,SMARCD2	hsa05225
Autophagy - animal	0.019697603390144553	AKT1,IGF1R,IRS1,LAMP1,MAP2K2,RAB1A,RPS6KB1,TSC2	hsa04140
Yersinia infection	0.019697603390144553	ACTR3,AKT1,ARPC5L,BCAR1,MAP2K2,PLCG1,RAC1,RELA	hsa05135
Glioma	0.020410613348589374	AKT1,CALM1,CCND1,IGF1R,MAP2K2,PLCG1	hsa05214
Phospholipase D signaling pathway	0.02397395230755299	AGPAT2,AKT1,CYTH2,GNA12,GNAS,MAP2K2,PLCG1,TSC2	hsa04072
Longevity regulating pathway	0.029580882300819338	AKT1,IGF1R,IRS1,RELA,RPS6KB1,TSC2	hsa04211
Kaposi sarcoma-associated herpesvirus infection	0.03129815756179208	AKT1,CALM1,CCND1,GNB1,MAP2K2,PLCG1,RAC1,RELA,ZFP36	hsa05167
Thyroid cancer	0.03158496022912017	CCDC6,CCND1,MAP2K2,TPR	hsa05216
Salmonella infection	0.03812495233645768	ACTR3,AKT1,ARPC5L,CYTH2,EXOC5,KLC1,MAP2K2,PFN1,RAC1,RELA	hsa05132
Acute myeloid leukemia	0.03828467949174602	AKT1,CCND1,MAP2K2,RELA,RPS6KB1	hsa05221
