Phosphate bond hydrolysis by NUDT proteins	0.24766721081695509	NUDT15,NUDT16	R-HSA-2393930
Purine catabolism	0.253782893012585	DNPH1,NUDT15,NUDT16	R-HSA-74259
Nucleobase catabolism	0.46014519756354366	DNPH1,NUDT15,NUDT16	R-HSA-8956319
Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	0.5125425417826046	ATP5MC3,ATP5PD,NDUFA10,NDUFV1,SDHB	R-HSA-163200
Cristae formation	0.6371965055090053	ATP5MC3,ATP5PD,MTX1	R-HSA-8949613
Endosomal/Vacuolar pathway	0.7367037117376264	HLA-A,HLA-E	R-HSA-1236977
Apoptosis	1	YWHAH	R-HSA-109581
Hemostasis	1	CD63,PPIA	R-HSA-109582
Intrinsic Pathway for Apoptosis	1	YWHAH	R-HSA-109606
SLBP independent Processing of Histone Pre-mRNAs	1	SNRPB	R-HSA-111367
Activation of BAD and translocation to mitochondria	1	YWHAH	R-HSA-111447
Activation of BH3-only proteins	1	YWHAH	R-HSA-114452
Platelet degranulation	1	CD63,PPIA	R-HSA-114608
Downstream signaling events of B Cell Receptor (BCR)	1	PPIA,SKP1	R-HSA-1168372
Activation of NF-kappaB in B cells	1	SKP1	R-HSA-1169091
Prolactin receptor signaling	1	SKP1	R-HSA-1170546
ER-Phagosome pathway	1	HLA-A,HLA-E	R-HSA-1236974
Antigen processing-Cross presentation	1	HLA-A,HLA-E	R-HSA-1236975
Developmental Biology	1	CAP2,EFNA1,PDLIM7	R-HSA-1266738
Mitochondrial protein import	1	MTX1	R-HSA-1268020
Cytokine Signaling in Immune system	1	HLA-A,HLA-E,PPIA,SKP1,TCP1	R-HSA-1280215
Adaptive Immune System	1	ANAPC13,HLA-A,HLA-E,PPIA,SKP1,UBE2E2	R-HSA-1280218
The citric acid (TCA) cycle and respiratory electron transport	1	ATP5MC3,ATP5PD,NDUFA10,NDUFV1,SDHB	R-HSA-1428517
Metabolism	1	ADIPOR1,ATP5MC3,ATP5PD,BCAT2,CBR1,CYB5B,DBI,DCXR,DNPH1,HACD2,MDH1,NDUFA10,NDUFV1,NUDT15,NUDT16,PPA1,SDHB,SRM,UROD	R-HSA-1430728
Translocation of SLC2A4 (GLUT4) to the plasma membrane	1	ASPSCR1,YWHAH	R-HSA-1445148
Extracellular matrix organization	1	PPIB	R-HSA-1474244
Collagen formation	1	PPIB	R-HSA-1474290
Cell-Cell communication	1	CDH3,CLDN7,MPP5	R-HSA-1500931
Signaling by NOTCH	1	SKP1	R-HSA-157118
Nucleotide metabolism	1	DNPH1,NUDT15,NUDT16	R-HSA-15869
Mitochondrial biogenesis	1	ATP5MC3,ATP5PD,MTX1	R-HSA-1592230
Signaling Pathways	1	BRK1,REEP5,SKP1,TAX1BP3,YWHAH	R-HSA-162582
Uncoating of the HIV Virion	1	PPIA	R-HSA-162585
HIV Life Cycle	1	PPIA	R-HSA-162587
Budding and maturation of HIV virion	1	PPIA	R-HSA-162588
Reverse Transcription of HIV RNA	1	PPIA	R-HSA-162589
Integration of provirus	1	PPIA	R-HSA-162592
