week,si,chemical,value
0,siCtrl,Ctrl,100
0,siCtrl,GSK467_10,91.47204529
0,siPML,Ctrl,116.8789809
0,siPML,GSK467_10,106.2278839
0,siCtrl,Ctrl,100
0,siCtrl,GSK467_10,82.82548476
0,siPML,Ctrl,98.49078231
0,siPML,GSK467_10,94.30700162
0,siCtrl,Ctrl,100
0,siCtrl,GSK467_10,85.72593801
0,siPML,Ctrl,102.6237085
0,siPML,GSK467_10,83.12941816
0,siCtrl,Ctrl,100
0,siCtrl,GSK467_10,96.58260234
0,siPML,Ctrl,114.6929825
0,siPML,GSK467_10,106.7068713
3,siCtrl,Ctrl,100
3,siCtrl,GSK467_10,81.678487
3,siPML,Ctrl,87.52955083
3,siPML,GSK467_10,76.30023641
3,siCtrl,Ctrl,100
3,siCtrl,GSK467_10,72.46847297
3,siPML,Ctrl,89.16219253
3,siPML,GSK467_10,68.92870521
3,siCtrl,Ctrl,100
3,siCtrl,GSK467_10,83.32778702
3,siPML,Ctrl,87.65391015
3,siPML,GSK467_10,74.00998336
3,siCtrl,Ctrl,100
3,siCtrl,GSK467_10,79.4628752
3,siPML,Ctrl,82.7014218
3,siPML,GSK467_10,71.82727751
6,siCtrl,Ctrl,100
6,siCtrl,GSK467_10,80.46984572
6,siPML,Ctrl,79.20757363
6,siPML,GSK467_10,67.21598878
6,siCtrl,Ctrl,100
6,siCtrl,GSK467_10,85.14150943
6,siPML,Ctrl,86.00628931
6,siPML,GSK467_10,74.72484277
6,siCtrl,Ctrl,100
6,siCtrl,GSK467_10,85.29832936
6,siPML,Ctrl,88.54415274
6,siPML,GSK467_10,82.67303103
6,siCtrl,Ctrl,100
6,siCtrl,GSK467_10,86.26893939
6,siPML,Ctrl,85.01420455
6,siPML,GSK467_10,74.78693182
9,siCtrl,Ctrl,100
9,siCtrl,GSK467_10,81.53846154
9,siPML,Ctrl,89.45512821
9,siPML,GSK467_10,73.20512821
9,siCtrl,Ctrl,100
9,siCtrl,GSK467_10,87.73821464
9,siPML,Ctrl,77.50752257
9,siPML,GSK467_10,69.78435306
9,siCtrl,Ctrl,100
9,siCtrl,GSK467_10,79.23308919
9,siPML,Ctrl,81.64584231
9,siPML,GSK467_10,83.41232227
9,siCtrl,Ctrl,100
9,siCtrl,GSK467_10,67.95065458
9,siPML,Ctrl,79.73313192
9,siPML,GSK467_10,63.51963746
